#         patch                     x                        y                        z            
  0.0000000000000000e+00  -9.2609542024612801e-01   5.2836439393719209e-02  -3.7357138979228793e-01
  1.0000000000000000e+00  -9.5541362427753773e-01   4.7452495009820905e-02  -2.9143278343762719e-01
  2.0000000000000000e+00  -9.1686186347861909e-01   1.5075021782829609e-01  -3.6964671664068033e-01
  3.0000000000000000e+00  -9.7800657896536258e-01   5.3229390373443201e-02  -2.0166745771427660e-01
  4.0000000000000000e+00  -9.8045329256007718e-01   1.3306945589780864e-01  -1.4492708861756901e-01
  5.0000000000000000e+00  -9.5412661081771633e-01   1.3615212531377296e-01  -2.6665522552922322e-01
  6.0000000000000000e+00  -8.8479464525672036e-01   2.7014151860239444e-01  -3.7968670723667231e-01
  7.0000000000000000e+00  -8.9589615838903613e-01   3.2711964824419837e-01  -3.0060407368556880e-01
  8.0000000000000000e+00  -8.4569116147726953e-01   3.7585070773113005e-01  -3.7887030089099843e-01
  9.0000000000000000e+00  -9.2415958107920315e-01   2.2905388550499359e-01  -3.0571782125773628e-01
  1.0000000000000000e+01  -9.3041320536897598e-01   2.9405774477067187e-01  -2.1877227890071926e-01
  1.1000000000000000e+01  -9.0280734146419506e-01   3.8287481999315326e-01  -1.9582077625615429e-01
  1.2000000000000000e+01  -9.9296568176305311e-01   5.2429228136575252e-02  -1.0616181459375207e-01
  1.3000000000000000e+01  -9.9850332014528775e-01   5.1338956644092999e-02  -1.8852882791046219e-02
  1.4000000000000000e+01  -9.5555008490111848e-01   2.0849322001829437e-01  -2.0845769943052814e-01
  1.5000000000000000e+01  -9.9598049696134205e-01   4.7033427065530459e-02   7.6227989682985414e-02
  1.6000000000000000e+01  -9.8780161709434366e-01   1.4949772704227257e-01  -4.3570573498566141e-02
  1.7000000000000000e+01  -9.8916657480416481e-01   1.4143790249597146e-01   3.9304033224809208e-02
  1.8000000000000000e+01  -9.4437354222440562e-01   3.0300716036766928e-01  -1.2784863516068598e-01
  1.9000000000000000e+01  -9.7104841172205225e-01   2.2365327109809627e-01  -8.3929711182638991e-02
  2.0000000000000000e+01  -9.2167878958034188e-01   3.7765102802162986e-01  -8.8813905847687405e-02
  2.1000000000000000e+01  -9.7063643595718452e-01   2.3985962583722903e-01   1.8228249657020055e-02
  2.2000000000000000e+01  -9.4774397799560239e-01   3.1848660819092645e-01  -1.8644907511443112e-02
  2.3000000000000000e+01  -9.1870815729578015e-01   3.8966112521661389e-01   6.4339173239282191e-02
  2.4000000000000000e+01  -8.5408015078343325e-01   4.2911464307221792e-01  -2.9395189936238036e-01
  2.5000000000000000e+01  -8.0403746663725495e-01   4.6164536788913646e-01  -3.7470962964680909e-01
  2.6000000000000000e+01  -8.0598955853908627e-01   5.1373141102821585e-01  -2.9404229091905687e-01
  2.7000000000000000e+01  -8.5484133707417354e-01   4.7494431746234655e-01  -2.0898369252040977e-01
  2.8000000000000000e+01  -8.8342882628723396e-01   4.5323517580975542e-01  -1.1887549913022656e-01
  2.9000000000000000e+01  -8.3478484867981295e-01   5.3364046686813804e-01  -1.3550685789057890e-01
  3.0000000000000000e+01  -7.5290442309842587e-01   5.4282593037780469e-01  -3.7212220974875648e-01
  3.1000000000000000e+01  -7.3840871858604429e-01   6.0351354001697433e-01  -3.0087201819427467e-01
  3.2000000000000000e+01  -6.9014777575059816e-01   6.8386492518668229e-01  -2.3669560985771496e-01
  3.3000000000000000e+01  -8.0100465614585070e-01   5.5837404705786930e-01  -2.1589340982272726e-01
  3.4000000000000000e+01  -7.5286834064784125e-01   6.2921720348819632e-01  -1.9306727450466535e-01
  3.5000000000000000e+01  -6.6772773071763314e-01   7.2762187577616888e-01  -1.5718168952727654e-01
